Date,Price,Open,High,Low,Vol.,Change %,Name
16-May-21,"46,426.40","46,729.30","49,764.30","43,920.80",180.07K,-0.60%,Bitcoin
15-May-21,"46,708.80","49,839.10","50,640.90","46,650.20",131.91K,-6.28%,Bitcoin
14-May-21,"49,839.80","49,704.90","51,459.20","48,874.00",118.84K,0.27%,Bitcoin
13-May-21,"49,704.60","49,398.20","51,337.30","46,331.10",236.71K,0.65%,Bitcoin
12-May-21,"49,384.20","56,694.50","57,938.50","49,187.00",160.74K,-12.90%,Bitcoin
11-May-21,"56,695.70","55,846.10","56,871.10","54,550.40",96.47K,1.52%,Bitcoin
10-May-21,"55,848.90","58,251.20","59,523.90","53,678.30",142.61K,-4.10%,Bitcoin
9-May-21,"58,238.30","58,840.60","59,227.00","56,414.40",103.59K,-1.02%,Bitcoin
8-May-21,"58,840.10","57,330.30","59,471.10","56,972.20",101.27K,2.62%,Bitcoin
7-May-21,"57,337.20","56,411.40","58,639.30","55,300.10",110.01K,1.65%,Bitcoin
6-May-21,"56,405.40","57,441.00","58,364.90","55,294.50",109.02K,-1.80%,Bitcoin
5-May-21,"57,441.30","53,872.50","57,936.40","53,872.50",119.82K,6.88%,Bitcoin
4-May-21,"53,741.50","57,170.60","57,201.30","53,741.50",132.33K,-6.00%,Bitcoin
3-May-21,"57,169.80","56,605.80","58,925.10","56,562.40",89.24K,1.00%,Bitcoin
2-May-21,"56,603.80","57,807.20","57,868.40","56,110.50",53.61K,-2.08%,Bitcoin
1-May-21,"57,807.10","57,719.10","58,449.40","57,029.50",63.41K,0.15%,Bitcoin
30-Apr-21,"57,720.30","53,562.30","57,925.60","53,088.70",103.74K,7.77%,Bitcoin
29-Apr-21,"53,560.80","54,838.60","55,173.70","52,400.00",83.90K,-2.34%,Bitcoin
28-Apr-21,"54,841.40","55,036.00","56,419.90","53,876.40",86.96K,-0.35%,Bitcoin
27-Apr-21,"55,036.50","54,011.10","55,427.80","53,345.00",84.08K,1.88%,Bitcoin
26-Apr-21,"54,020.50","48,963.50","54,320.90","48,815.90",129.76K,10.33%,Bitcoin
25-Apr-21,"48,963.60","50,088.20","50,532.40","47,098.50",59.20K,-2.25%,Bitcoin
24-Apr-21,"50,088.90","51,140.80","51,183.00","48,775.20",82.25K,-2.06%,Bitcoin
23-Apr-21,"51,143.60","51,707.10","52,099.90","47,659.40",214.46K,-1.13%,Bitcoin
22-Apr-21,"51,729.50","53,821.30","55,408.40","50,590.90",168.13K,-3.88%,Bitcoin
21-Apr-21,"53,820.20","56,479.50","56,764.40","53,657.60",100.26K,-4.71%,Bitcoin
20-Apr-21,"56,483.20","55,645.10","57,054.90","53,422.50",115.49K,1.50%,Bitcoin
19-Apr-21,"55,646.10","56,208.10","57,517.00","54,272.30",117.51K,-1.00%,Bitcoin
18-Apr-21,"56,207.10","60,043.20","60,362.10","51,817.60",216.81K,-6.39%,Bitcoin
17-Apr-21,"60,041.90","61,358.30","62,509.10","59,672.10",84.08K,-2.18%,Bitcoin
16-Apr-21,"61,379.70","63,211.60","63,518.50","60,027.30",136.85K,-2.90%,Bitcoin
15-Apr-21,"63,216.00","62,978.60","63,729.10","62,067.50",76.97K,0.37%,Bitcoin
14-Apr-21,"62,980.40","63,544.20","64,778.00","61,366.30",130.43K,-0.88%,Bitcoin
13-Apr-21,"63,540.90","59,863.60","63,659.00","59,839.40",126.56K,6.14%,Bitcoin
